Date,Open,High,Low,Close,Adj Close,Volume
2023-07-06,400.000000,404.000000,392.000000,394.000000,360.106964,30591200
2023-07-07,396.000000,396.000000,388.000000,394.000000,360.106964,31461000
2023-07-10,400.000000,400.000000,390.000000,394.000000,360.106964,55747800
2023-07-11,366.000000,372.000000,362.000000,368.000000,364.064178,53647200
2023-07-12,370.000000,372.000000,364.000000,366.000000,362.085571,22296200
2023-07-13,368.000000,370.000000,364.000000,368.000000,364.064178,12014000
2023-07-14,368.000000,370.000000,366.000000,368.000000,364.064178,7912700
2023-07-17,368.000000,378.000000,366.000000,376.000000,371.978607,25131700
2023-07-18,378.000000,380.000000,370.000000,372.000000,368.021393,11343200
2023-07-20,374.000000,386.000000,372.000000,380.000000,375.935852,36011400
2023-07-21,382.000000,386.000000,376.000000,380.000000,375.935852,19151500
2023-07-24,380.000000,382.000000,378.000000,380.000000,375.935852,12918700
2023-07-25,382.000000,382.000000,376.000000,380.000000,375.935852,18874300
2023-07-26,380.000000,386.000000,378.000000,380.000000,375.935852,18216500
2023-07-27,382.000000,388.000000,380.000000,384.000000,379.893066,26499300
2023-07-28,384.000000,384.000000,374.000000,378.000000,373.957245,19389500
2023-07-31,378.000000,380.000000,366.000000,368.000000,364.064178,31003200
2023-08-01,368.000000,374.000000,364.000000,374.000000,370.000000,20184300
2023-08-02,374.000000,376.000000,370.000000,372.000000,368.021393,7487600
2023-08-03,372.000000,372.000000,368.000000,370.000000,366.042786,8056800
2023-08-04,370.000000,374.000000,370.000000,374.000000,370.000000,6595200
2023-08-07,374.000000,376.000000,370.000000,374.000000,370.000000,6227700
2023-08-08,374.000000,376.000000,370.000000,374.000000,370.000000,16457800
2023-08-09,374.000000,374.000000,366.000000,366.000000,366.000000,13759300
2023-08-10,366.000000,370.000000,364.000000,366.000000,366.000000,7096900
2023-08-11,366.000000,370.000000,364.000000,364.000000,364.000000,7649200
2023-08-14,364.000000,366.000000,360.000000,362.000000,362.000000,11016100
2023-08-15,362.000000,368.000000,356.000000,358.000000,358.000000,20285400
2023-08-16,366.000000,366.000000,354.000000,356.000000,356.000000,16644300
2023-08-18,356.000000,360.000000,354.000000,358.000000,358.000000,11416000
2023-08-21,358.000000,360.000000,354.000000,354.000000,354.000000,10171400
2023-08-22,356.000000,358.000000,352.000000,356.000000,356.000000,8673300
2023-08-23,356.000000,376.000000,356.000000,374.000000,374.000000,47125100
2023-08-24,376.000000,380.000000,368.000000,370.000000,370.000000,27044900
2023-08-25,370.000000,374.000000,362.000000,366.000000,366.000000,12525400
2023-08-28,370.000000,370.000000,360.000000,362.000000,362.000000,15311400
2023-08-29,360.000000,364.000000,360.000000,360.000000,360.000000,5784000
2023-08-30,360.000000,366.000000,360.000000,362.000000,362.000000,12116000
2023-08-31,364.000000,368.000000,358.000000,360.000000,360.000000,15580900
2023-09-01,362.000000,362.000000,358.000000,360.000000,360.000000,10445600
2023-09-04,360.000000,364.000000,356.000000,358.000000,358.000000,10716500
2023-09-05,358.000000,360.000000,356.000000,358.000000,358.000000,11014400
2023-09-06,360.000000,360.000000,356.000000,358.000000,358.000000,16079000
2023-09-07,358.000000,360.000000,356.000000,356.000000,356.000000,8263100
2023-09-08,356.000000,360.000000,356.000000,358.000000,358.000000,8156600
2023-09-11,358.000000,360.000000,356.000000,358.000000,358.000000,7354500
2023-09-12,356.000000,358.000000,352.000000,356.000000,356.000000,11509000
2023-09-13,356.000000,358.000000,354.000000,358.000000,358.000000,6756000
2023-09-14,358.000000,358.000000,356.000000,356.000000,356.000000,7818200
2023-09-15,356.000000,360.000000,354.000000,356.000000,356.000000,13242300
2023-09-18,360.000000,360.000000,354.000000,354.000000,354.000000,13885200
2023-09-19,354.000000,358.000000,350.000000,356.000000,356.000000,13827200
2023-09-20,356.000000,370.000000,354.000000,362.000000,362.000000,31394400
2023-09-21,362.000000,372.000000,360.000000,364.000000,364.000000,34222600
2023-09-22,364.000000,366.000000,360.000000,362.000000,362.000000,10219200
2023-09-25,360.000000,362.000000,356.000000,356.000000,356.000000,13282900
2023-09-26,358.000000,360.000000,354.000000,356.000000,356.000000,10382100
2023-09-27,356.000000,358.000000,352.000000,354.000000,354.000000,11188900
2023-09-29,354.000000,358.000000,352.000000,354.000000,354.000000,7255400
2023-10-02,354.000000,358.000000,352.000000,352.000000,352.000000,8018900
2023-10-03,354.000000,356.000000,352.000000,352.000000,352.000000,7253100
